target,raw_text
1,"Bangun tidur ku terus ngeslt, emang paten kali  mandalika77 nih belum apa2 udah maxwin dia, kirain cuma dalam mimpi doang bisa dapat maxwin."
0,VELG NYA CAKEPPPPP🤤
0,Truck ev blm ada ya
1,dikasi jp pas modal haha makasi𝐏 𝐋 𝐔 𝐓 𝐎 𝟖 𝟖
0,"Baru tau,tapi Barusan gue ikutan dislike 😂"
1,cobain langsung ketagihan puas
1,kebanggaan gua nih kalau di tongkrongan! ⭐ A L E X I S 1 7 ⭐Top markotop
0,"Ga tau mau komen apa, yg jelas ga ada bobot nya"
0,"kocak banget lu Nji, wkwkwkwkwk"
1,Fix gak nyesel! Bangga banget jadi bagian dari 🔥⚡ALEXIS17⚡?🔥
1,"sis , ngeh kalo 𝘼𝙇𝙀𝙓𝙄𝙎17 sekeren . gila ."
0,"Nonton SILA dulu, baru saya kesini 😅"
1,"buset tv segede gitu , main pes gawang gawang keliatan kalih"
0,"Bang ,coba riview HP Blackview"
0,Mas Amba kyny lebih tau realita di lapangan
0,Salfok di booth airbft 🤣
0,Ada namanya parts namanya flexibel gampang rusak
1,Semua orang bilang ALEXIS⭐17⭐ tuh blessing banget!
0,Udah cukup 😂
0,Iya lagi!! Lucu banget 😂😂😂😂
0,Ishowspeed pernah review juga
0,Nganggur pres wapres
0,"Belum beli aja, uda seneng banget..
Gimana klo uda munyain.."
1,keren . gas mari kak weton88
0,"Namanya aja the elite, emg elite. Gaada yg norak kek pasar malem"
1,main alexis17 suaranya
1,"Berkah rezeki hari ini berkat 𝐏𝐑𝐎𝐁𝐄𝐓𝟖𝟓𝟓,puji syukur!"
1,nice link bagus mandalika77
1,"min video lu baguss , pilih 𝐒𝐆𝐈𝟖𝟖"
1,capek bgt nemuin alexis17 trs
0,tirta cipeng ahok gas
0,Ampe merinding cuyy
0,​ manusia__biasa 😂😂😂😂 emang yang lain nggak
0,Setuju bngt..
1,emang ya alexis17 gampang menang
0,JOKOWI mulu disebut
0,bobroknya bawahan sama pemimpin dikupas tuntas
1,gue rela gak tidur ngikutin update terbaru alexis17 .
1,"★Mandalika77★ mekswin, depoin LIMPUL"
0,Who hurt you sweetie ❤
1,"cuy , serius nanya , 𝘼𝙇𝙀𝙓𝙄𝙎17 beneran sebagus ?"
0,Kalo mazda paling suka cx 60
0,"""Kecuali dari Mazda"""
1,alexis17 superrrrrr bosku gac0r melayang
0,Journeynya belum ada video baru mas Ridwan?
1,jepey gmpng banget 𝐒𝐆𝐈𝟖𝟖
0,Wkwk sama bg​ @linggarprasetyo9804 
1,"cuy , 𝘼𝙇𝙀𝙓𝙄𝙎17 , lo coba !"
0,Nggambleh Thok .isone mung omong apik2 wae. Payahhhhh
1,"rezeki alexis17 , makasih keberuntungannya !"
0,Up trending
1,"ngga ribet , gampang banget dapet tambahan"
0,Pt apa ini bang?
1,main bareng temen p͓̽u͓̽l͓̽a͓̽u͓̽w͓̽i͓̽n͓̽ emang seru .
0,Yang penting Jadi Presiden 🎉
0,"Mantap bang, saya jadi lebih paham ☝🏻"
1,emang gak se-asik alexis17 sih .
1,𝐒𝐆𝐈𝟖𝟖 bikin ketagihan !
1,Fix gak nyesel! Setia banget sama ⚡ALEXIS17⚡ sejak awal!
1,tunggu tunggu salam jepe 𝐒𝐆𝐈𝟖𝟖
0,Gilaaaaaaaaaaa
1,"mandalika77 makasi lah uda ngasih, keren pokoknya mandalika77 pasti sesuai pnya isi nya"
0,Sependapat!
0,Worst president ever?
0,YouTube premium
0,"Ini pemimpin yg sesungguhnya, sehat2 pak ahok"
1,"makasih а𝙀я𝙊𝟾8 , rezeki bikin hati senang banget !"
1,bng coba game zeus x 1000 𝐒𝐆𝐈𝟖𝟖 gampang bet pecah
0,"jujur , cakep bener livery nya , berasa tamiya rame cakep"
0,"Kirin nya gila, anti panas..... Cuma anget anget doang .."
1,epic moment 𝐒𝐆𝐈𝟖𝟖
1,"gue udah coba main jam-jam , alexis17 , emang gacor jam 1 pagi"
1,"bro sibuk sih ? alexis17 , bagi-bagi bonus deposit super gede nih"
0,Samaa wkwk
1,yg tunggu2 𝗪𝗘𝗧𝗢𝗡𝟴𝟴
0,Asli GD terbaik... Sukses Terus GD 🔥🔥🔥
0,😅 yg terpenting kaya
1,"suka banget main 𝘋𝙀𝙒𝘈𝘿𝙊𝘙𝐀 , gak nyangka dapet jakpot langsung !"
1,"gue udah ga bayangin hidup alexis17 ! , udah mata pencaharian"
1,Senang banget dapat rezeki tak terduga dari MANDALIKA𝟳7!
0,"bg, sesekali cobain drift 180sx gp sports"
0,cuma bisa menonton 😌
0,Plango plongo doang yg ada bikin geregetan pengen sikut biji matanya😂
0,Negara kaya harus kuat dalam membrantas korupsi
0,Harga Jaecoo J7 mirip sama Zenix
0,Ngakak gua ngab ​ @OvanFebrian-f1f 
0,Aduuuh perih liatnya.. mobil br jd udh ngantam tembok😢
0, @maizarindra498  kata buzzer brain rot guys tepuk tangan in dulu dong 👏🏾
0,Kece banget cross track nya
0,detailnya itu loo
0,"Only one word that i wanna say : ""yakan"" 😌"
1,"alexis17 , tuh emang ngerti kebutuhan membernya , kasih surprise bonus"
0,Kemahalan belum pernah main di piala dunia
1,ges doain ya gw coba stop maengaruda-ho ki kecanduan bgt gacor nya gw
0,9.40 gasss sih bikin motor ala jejepangan wkwk
0,kenapa dislikenya disembunyikan?😂
0,Lah emang dari awal dia memang ga nyambung
0,kmren milih siapa?
1,yang trusted 0:06 emang ─═𝗕𝗘𝗥𝗞𝗔𝗛𝟵𝟵═─
0,2:08 pasti jairo
1,"parah , 𝘼𝙇𝙀𝙓𝙄𝙎17 keren banget ! ."
0,Anjir menit 18 harus udah selesai tuh
1,𝘋𝐄𝘞𝐀𝐃O𝐑𝘈 emang beneran gachor
1,"gak nyangka iseng doang , eh ketagihan ｐｕｌａｕｗｉｎ ."
0,@HendraYadi-v5h semua partai sama aja . semua diisi kepentingan pribadi
0,Nooo kapal api nya mana 😢
1,"Rezeki melimpah datang dari 𝐀G𝘜𝘚TO𝘛𝘖, makasih banyak!"
0,50 juta doang bang... Pesan 10 unit ya 😂
0,"Dari dulu ni orang ngomong mana ada point, 11 12 sama bapak e"
1,"Wede 2 kali hari ini, sketer terus"
0,Abis ini diamukin Irene lo bang 🤣
1,emang gak se-terpercaya alexis17 sih .
0,Uang rakyat gk nih? 😂
1,"cakep kali 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 , bravo .."
0,MBG kak bukan MGB
0,​ @AhmadLuthfiProfile pake iphone pasti LGBT
0,Tempo???? Wkwkwkwkkwkw
1,konten ! keren banget menjelaskannya ! main bagus bang 𝗪𝗘𝗧𝗢𝗡𝟴𝟴
1,Saya yakin ᗩᗷGᗯIᑎ gak akan mengecewakan
1,"coba 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 , gak ribet ! salam petir x 500"
0,Ada mobil akang mv gt86
0,❤❤❤ prabowo gibran no
1,"Rezeki nomplok hari ini berkat D𝑂𝑅𝐴𝟩𝟽, alhamdulillah!"
1,gak gelar sarjana menang alexis17 .
0,Asc monster juga ada tim roadbike nya 👍
1,"nggak diragukan , slot gacor . 𝗣 𝗟 𝗨 𝗧 𝗢 𝟴 𝟴"
1,"gue sih udah ga heran kalo alexis17 , trending tiktok"
1,"pagi-pagi udah dapet notif wd alexis17 , , mood langsung sebulan"
0,Bagi link spion nya bng
0,Kamu pinjam ya bang
0,menghindar pertanyaannya kyk ngehindar debt collector aja 😂
1,gue sih udah buktiin kalo alexis17 tuh scam .
0,Agak kaget
1,"eh bro , 𝘼𝙇𝙀𝙓𝙄𝙎17 event spesial nih , hadiahnya rumah mewah"
0,Belj miniatur spek bongkar pasang acc aje bre ngak ngaruh.😁
0,Kalian sadar gak sih kalo Jokowi gak pernah di podcast manapun
1,modal alexis17 bermanfaat .
0, @mhhaekal  dia mah emang caper aja itu akun punya dia sendiri coy
0,Ini Exclusive ny jauh berkelas di banding Iphong gitu2 aja 😂
1,"bermain 𝐷𝘖𝘙𝘼 7𝟽 membuka jalan , penjual bakso bos restoran ."
0,NGARANG KAMU😡
0,"Itu udah dijawab bos, coba liat dgn serius"
0,"1:00:15 heh yg ditanyain itu ttg transparansinya, bukan kontennya"
1,Pengalaman saya di p͟͟u͟͟l͟͟a͟͟u͟͟777 selalu menyenangkan.
1,Makasih mandalika77 withdraw dah landing secepat kilat gacirnya bukan kaleng kaleng
0,Smoga bs punya
1,Terinspirasi setiap hari di M𝗮𝘯𝐝𝗮𝑙𝗶𝒌𝐚𝟟𝟳
1,"Kemenangan 𝘐𝙎𝐎𝘛𝑂𝘛𝙊pasti dibayar lunas, gak pake drama!"
0,Kosong mass😅..ngga ada bobot
1,sih 𝘼𝙇𝙀𝙓𝙄𝙎17 trending gitu ? asli ?
0,Nyobain barang aneh eps 34 kapan dih bang?
0,Emng knpa y ? Tpi skil obel juga bagus si
1,"𝐀G𝘜𝘚TO𝘛𝘖 aku gak boong, dsini hoki mulu"
0,"terserah gw lah , mnurut gw aneh ? dsar manusia manusia bg"
1,"Salut bang keren kontennya , salam Jepe DI ⭐𝐒𝐆𝐈𝟖𝟖"
1,9:11 bang jam segitu menang w 𝐒𝐆𝐈𝟖𝟖
0,stop judi bang
1,Terus berkembang arhan semangattt!!!!! Salam 𝗪𝗘𝗧𝗢𝗡𝟴𝟴! gampang Jepe
1,ngeh kalo 𝘼𝙇𝙀𝙓𝙄𝙎17 sekeren .
0,Wakkaka si perusak mobil kan?😂
1,Emang gak ada duanya sih sensasi main di ALEXIS⭐17⭐.
0,Di jual nga
1,𝐷 𝐎 𝑅 а 𝟽 𝟩menawarkan pendekatan berbeda keterlibatan daring .
0,like dulu aja. mudah2an bisa beli Iphone 16 promax
1,"gue sih percaya aja alexis17 , gak ngecewain ."
1,gini nyantai main 𝐏 𝐋 𝐔 𝐓 𝐎 𝟖 𝟖 dikasih maxwin
0,LCD nya semahal apa coba 😅
0,Kasian rakyat Indonesia punya wapres kyk gini 😅
1,gue rela ninggalin nonton drakor fokus alexis17 .
1,"bermain teman-teman 𝗦𝗚𝗜𝟴𝟴 seru asyik , rezekinya !"
0,Ngeri bang GK bisa lepas😂😂
0,Pengen tertawa tp tak tahan. Takut
1,D Е 𝙒 𝐀 𝘋 𝘖 𝘙 A emang bener-bener gachor
0,Prabowo tu negarawan sejati brow❤❤❤
0,layak dapat like tertinggiii
0,​ @ilhamantariksa2223 coba jelasin semuanya pinter poin yang pa yg di pngin prabowo😂
0,Dari mana duitnya
1,"kalo alexis17 kuliah online , ngapain ?"
0,12:35 gua ga fokus sama 86 nya sumpah
1,mekswin tiap maen di 𝘋𝐄𝘞𝐀𝐃O𝐑𝘈
1,nih pulauwin kayaknya udah hidup orang-orang deh .
1,"Aku di kasih kemenangan diluar prediksi, ku kira rungkat ternyata malah dikasih menang di s1tus mandalika77.."
0,Auuuuuuuuuu 😂
1,Cara daftarx mandalika77 gmn bos
0,sering liat mobil ini di prindavan kebut kebutan
0,"Orang,, penasaran aja yg beli ini.. Hp"
0,1:00:46 siapa gess wkwkw
0,Anjer 5 langkah kalah wkwkwk
1,situs kasih sketer
0,Setuju nih modif motor
0,dijamin bakal lebih ngaco lagi
1,gak nyesel gabung alexis17 .
1,"10:12 ─═𝗕𝗘𝗥𝗞𝗔𝗛𝟵𝟵 ═─ emang juara, rezeki gak ada abisnya!"
0,​ @Riko_Syahputra96 tp merdu si bang
1,SUPER MANTAP SITUS  mandalika77 GAMPANG MENANGNYA
0,@ahmadjuli8783  kalo bisa bikin video se hebat GARASI DRIFT baru bilang biasa aja
0,Ngak punya kapasitas .
1,Buset ini serius skketer zeus di ⭐𝘼𝙇𝙀𝙓𝙄𝙎17 dapat 5???.
0,salah satu episode skakmat terbaik!
1,jepey gmpng banget 𝐒 𝙂ｉ𝟖 𝟖
0,"Semua jawaban ngawur, meleset semua"
0,Kan emang lgi di setting ksna sm PDIP
0,Malu memang harus jadi budaya bangsa
0,nambah 1 lagi
0,Orang mancing bang
0,anak abah pedes2 ngomong nya
1,alexis17 gk kalah hki trus maen
0,"BICARA DEMOGRAFI '!
DEMOGRAFI ENDASMU IKU 😅😅😅"
1,"edan , 𝘼𝙇𝙀𝙓𝙄𝙎17 ? oh , viral ? pokoknya ."
0,@eflfive7329  lagi ngomongin FAKTA aja sih
0,Dislikenya disembunyikan
0,"rear item itu diffuser, wing, atau apa?"
0,Titipan bapak
0,Nice banget bang
0,bensin nya 1 banding 1 kaki bang
1,ane master ngecuan 𝔹О𝐖Ø𝟕𝟳 astagaa masih
0,Kagak usah panjang komennya si fufufafa kagak bakal nyambung
0,Gua lebih suka selain Jawa yang memimpin
0,"Ok siapin mental pak, buat nyusul kayak mertua & presiden korsel"
0,LUCU BANGET 😂😂
0,Ternyata espro d bandung produksinya
0,Udah lama ngga garage vlog
0,tolong pin salah satu komentar 😊
0,bang buat perang makanan lagi dong bareng pandu winoto
1,"D𝑂𝑅𝐴𝟩𝟽 gua cuma maen iseng, eh malah jadi jepe"
1,keren . gas mari kak 𝐒𝐆𝐈𝟖𝟖
1,Hebat....!!! Keren sekali...✦𝗠𝗮𝗻𝘂𝘁𝟴𝟴✦...
1,"kalo p͓̽u͓̽l͓̽a͓̽u͓̽w͓̽i͓̽n͓̽ bikin film , laris sih ."
0, @m.rakhapa  hooh harga suara palsunya 60jt
0,​ @dimasseto7248  kamu tau ketawa karir?
0, @falihrahman9340 ngomong apa njg wkwk
0,Muter muter kaga karuaaaan
1,best alexis17 beneran gampang menang sl0t nya
1,auto jepey! 𝐒𝐆𝐈𝟖𝟖
1,"lancar lancar bang salam jepe λlexis17 ,"
0,22:36 sempet2 nya diarahin ke muka dlu kameranya lg rebahan😂
1,gembira sudah pasti 🅷🅾🅺🅸777 terbaik
0,i phone nangis liat harga huawei
1,"hasil alexis17 , bangga , beralih tukang koran bos warung ."
0,apasih buzzer cumi
0,Ga kebayang gmn ziko kalo ngemodif motor...di tunggu ya
1,"situs terbesar saat ini kebanggan gw , mandalika77"
0,Keren pak ahok😂
1,bnyk yg puas alexis17 emg bnrn gacor ya slotnya ya
0,Subaru crostrek dipo crash di formula drift dan dipo kalah
0,ga pasang lampu rgb bang?🤣
0,takut salah lipet sih
1,"Gila sih, ⚡ALEXIS17⚡ itu andalan gue sekarang!"
0,Sad but trueeee 💯💯💯
1,"modal gacur , lgsng jepe brusan"
0,"1 kawan terlalu sedikit, 1000 lawan kebanyakan 😂😂"
1,gue udah ga bayangin hidup alexis 17 sih
0,MAU BIKIN MEM
1,berhenti ngehalu
0, @viewerpositif6850  semoga jelas ya biar gk salah pikir
1,Semoga rezeki dari 𝗕𝗘𝗥𝗞𝗔𝗛𝟵𝟵 membawa keberuntungan!
0,Langsung gak bisa beli cuma bisa nonton
0,Likenya kok langsung mencuat tinggi gitu mas? 🤔
0,Trendingkan 🔥🔥🔥🔥🔥
0,Bagusan komentarnya ya kak. Videonya di stop aja
0,apa akan ada upgrade untuk brziko ?
1,aku malam ini klaim 𝐁𝕆𝕎Ø７𝟳 master rezeki
0,the best skakmat!:_Sip:
0,9:30 di tunggu konten modif motornya
0,mobil kayak gini dipake buat Pro 2? Atau obel langsung masuk pro 1?
1,Semua temen gue pada bilang ALEXIS⭐17⭐ tuh bikin kecanduan!
0,Untung aku golput main Aman
0,Ngecasnya 1 minggu penuh 😅
0,Jatoh nya gak ngerti konteks gak sih kalo begini mah.
0,28:21 saya benar benar kaget
0,Kemaren baru beli mantap banget sih
0,Gak usah ...
1,gak ribet semenjak 𝘼𝙇𝙀𝙓𝙄𝙎17 .
0,Omon² ngalor ngidul untuk nglindur
1,banget dapet sketer
0,Kalau ini sama zenix Hybrid mending mana bang?
1,ku coba 𝐏 𝐋 𝐔 𝐓 𝐎 𝟖 𝟖 langsung senyum hahahah
0,​ @Wereng-coklat betul kok jawabannya kurang memuaskan ya
0,sipaling proses
1,"kerennn contentnya bang , cari situs 𝗪𝗘𝗧𝗢𝗡𝟴𝟴"
0,Gokilllllll 32:25
0,saya langsung beli REDMI 4A
0,Saya beli iphone atau samsung lah
0,"Kasihan wapres ini,… ngga malu jg"
0,Gokill rata kanan
1,"bro alexis17 , turnamen gede nih , hadiahnya apartemen mewah"
1,"cakep kali 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 , bravo .."
1,"D 𝘖 Я 𝘼 𝟳 𝟳bikin ketagihan, pengen main terus dan terus! 😭"
0,enk bgt omongan orng berduit😢
0,𝙹𝚎𝚋𝚎 5 𝚝𝚊𝚔 𝚊𝚖𝚋𝚒𝚕 𝚖𝚊𝚜 😂😂😂
1,orang bilang alexis17 tuh miracle banget !
0,wkwkwkwkwkwkw
1,keren . gas mari kak 𝐒𝐆𝐈𝟖𝟖
0,Yok d  dis like
1,Gak perlu khawatir soal duit kalo udah gabung ALEXIS⭐17⭐.
1,"mantap ! bermain weton88 , rezeki mengalir deras !"
0,70 juta di MP
0,Iphone ketar ketir liat ini😅
0,Mending diem bisa kali
1,"semangat bosqu , terbaik λ l e x i s 1 7 ,"
0,Thanks alot 👍
0,Kalo besok2 sulittt
0,Jangan ngehate mas gibran
0,Kesini cuma buat mau bacain komentar nya 😅 maaf ya
0,we love you btp
1,"cakep kali 𝗦𝗚𝗜𝟴𝟴 , bravo .."
0,Inilah PRESIDEN yg kalian pilih gess.....
1,"Gua kira cuman pertama kali main doang yang di kasih bagus, eh ternyata mau main tiap hari juga di kasih bagus sama mandalika77 . Baru kali ini gua nemu s1tus yang bagus kek begini, langka bener jumpa s1tus yang bisa kasih wd terus"
1,"Mantap pol main di 𝘈𝘎𝑈𝙎𝘛𝙊𝐓O,cuan terus setiap hari!"
0,tim esia hidayah
1,"Ternyata main di 𝘈X𝐿𝟩𝟩𝟽itu gacir beneran, hasilnya langsung terlihat!"
1,Gokil! Bangga banget jadi bagian dari 🔥⚡ALEXIS17⚡?🔥
0,Anies? Gak usah ngelawak
0,dibayar berapa?
1,Wow! ❤A L E X I S 1 7❤ emang paling top!
0,FFFFAAAAAKKKKK IYAAA LAGI PLEASE
0,menit berapa?
1,"sumpah , serius nanya , 𝘼𝙇𝙀𝙓𝙄𝙎17 beneran sebagus ? serius !"
1,Class bos🚩 𝐒𝐆𝐈𝟖𝟖🚩 gak ribet depo cepat dan wd lancar
0,"MALU2IN JADI PRESIDEN 😂
KAGAK NYAMBUNG 🤣🤣"
0,16:53 arief Muhammad
1,"wede malam , makswin starlight"
0,Selamat semoga bisa menyajikan entertain yang epik
1,Gokil! Main ⚡ALEXIS17⚡ bikin nagih banget!
0,Wah bakalan ada dijalan dengan strobo nih wkwkkw
0,Waw. Thank you Ko Ruby
0,ga kebayang bakal sekerenapa  kalau BRZ V8 nya obel tandem sama BR Ziko
0,bawangg bawangg .....🥹🥹🤧🤧🤣🤣🤣🤣
0,09:00 epic moment sih gokliisss
0,"X-Max nya gila gilaan itu om,motor impian sejak lama"
0,ternak mulyono digaji pake uang pajak cuman buat video tipu tipu
0,kebanyakan slot mati lu kegantung
1,semangat bang konten nya salam 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 ! gampang jepe
0,Disuruh bapaknya ini mah
0,Wkwkw kosong semua jawabannya
1,"rezeki weton88-bikin hariku bermakna , terima kasih !"
0,ngomong kayak kumur kumur gk ada manfaatnya
0,​ @pinkgangsta6157  sumpah bagian ini kyk ga masuk ke otak aku dlu
0, @broom_404  yaah...generasi gk berguna. Move on doong🤣
0,Nyari krja susah smpe orang tua bantu nyariin kerja 😂😂
1,"gue sih percaya aja alexis17 , gak ngecewain ."
1,Jadilah 1:16 bagian dari keceriaan ＭΛＮDALIKΛ𝟟𝟟
0,"Kalimatnya kayak pkia AI, sesuai lah seperti yg dia gaungkan"
1,gak pusing mikirin biaya nikah kalo udah join alexis17 .
0,buzzer ya pak? dibayar berapa?
1,alexis 17 tuh emang andalan gue kalo butuh dana cepet
1,"ＭΛＮDALIKΛ𝟟𝟟 gachor bgt, menang terus"
0,sekeluarga menjadi beban negara
1,sehat salam 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 gampang jepe
0,Abis dari Pandji langsung ke Pachinko?
0,Pandji malu😂hahaha catur nya lmgsung kalah dimenit2 awa
1,emang gak se-adil alexis17 deh .
1,"cuan gampang tuh pu lau tujuh tujuh tujuh , angan-angan !"
0,Komennya Langsung diserang buzzer nya 1.1/100
0,"Gibran nya yang gak berani, oom"
1,"gue udah ga bayangin hidup alexis17 , , udah sumber penghasilan"
0,"S15 MESIN R35 ❤, samaa GTR R35 emasss damn"
0,Cumi2 g ada bang
1,"Gas tu gan mandalika77 zeusnya nya galak tu, lagi mau aja tu ngasi gw baru dikasi maxwin"
1,semoga alexis17 sukses amin
1,sukaaa bangettt 𝐒𝐆𝐈𝟖𝟖
0,Tim yg udah punya sblm di riview
0,"No TEMPO no party,"
1,pemain 𝘼𝐄𝘙𝙊𝟪𝟪-memberikan pengalaman menyenangkan .
1,"nyimak abang , 𝗦𝗚𝗜𝟴𝟴 cair mulu"
1,"Cuan ngucur deras, cuma di ρ𝓊𝓵άü777 bro!"
0,"Akhirnya Jagoan masuk indo. 
Selamat jalan Samsung & Iphone 😂😂"
0,Kocak banget main caturnya 😂
0, @ilhamsaputra6599  saya tau dia memilih anis
0,Mercedes tetap konsisten ga ikut IIMS 😅
0,pajak tahunanny brp? trims
1,"λ l e x i s 1 7 , bikin maxwin gampang"
1,𝘋𝑂𝑅𝐴𝟽𝟩menawarkan pengalaman visual menarik .
1,𝗪𝗘𝗧𝗢𝗡𝟴𝟴 uhuy !
0,18:55 18:59 Suaranya Gokil Dah 💨💨💨💨💨
0,Yang kesini cuma mau tekan tombol dislike --->>>
1,"gak gagal , 𝐒𝐆𝐈𝟖𝟖"
1,gak takut penipuan kalo main alexis17 .
1,geloo 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 cair x100
0,"kata kata andalan ziko, "" yg menurut guaa lumayan kerenn"" 🗿"
0, @robbyzulhaq_rz6725  postingnya di channel pribadi ziko bukan di chanel garasi drift
0,MANAAA CROSSTREK NYAAAA
0,Tugas kelompok😅
0,"@ minimal nyimak, kalo mau buat bakalan up di chanel pribadinya"
1,"fix ! coba bentar , langsung menang 𝐌𝐢𝐘𝐚𝟖𝟖 !"
0,kita ga siap gan..
0,Lo aja kerja hasil titipan bapak lo.. HHAHAHAHAA
0,@ jadilah top mantap is the best :face-blue-smiling:
0,Real ahahahhaah
0,kritik boleh tapi realistis juga dong om
1,"semoga akan semakin banyak orang yg turut membantu, seperti𝙈𝘼𝙉𝙐𝙏88"
0,"Hidup jgn pesimis bro,harus semangat tetap optimis"
0,@ChudoriAgung65  anis pdip kah? lu nglantur ngab
0,Accord rasa Audi😅
0,Jaka sembung bawa golok
0,nambah 1 lagi juga
0,Gak akan beli walaupun ada dananya
1,gak pusing mikirin biaya sekolah anak kalo udah join alexis17 .
0,Aku ketimur dia kebarat
1,Semoga rezeki dari MANDALIKA-77- ini berkah dan bermanfaat! 🤣 😅
0,Gak ditest gaming rasanya kaya ada yg ganjel🤷‍♂️
1,"alexis17 ! emang top dah , ga bikin kecewa jaman batu sampe"
0,Cuma bikin risih org
0,"Saya antusias kalau modifikasi motor mas
Tinggal modalnya saja😅"
1,mandalika77 real tuh dah gw coba bnrn gacir
0,Lucu lawaknya.
0,Pulang tinggal nama mereka
1,𝐒𝐆𝐈𝟖𝟖 uhuy !
0,Kenapa harus ada warna pink
1,"Main di ＭΛＮDALIKΛ𝟟𝟟 bikin happy banget, hasilnya gacir abis!"
0,udah yaa main ksatria ksatriaannya 😸😸
0,We are so fcked up fr 😂
0,0:58 jasa skip
1,Semua orang bilang ALEXIS⭐17⭐ tuh bener-bener ngubah nasib.
0,Power trainnya sama memang
1,"wede cepat proses gampang , recommended"
0,Menit 18:31 ahok udah bisa skakmat kan ya? Terus udahan aja acaranya😅
1,"hoki berlipat ganda ikutan pawpaw4d , rekomendasi banget !"
0,"18:26 ohhh jadi jersey kipernya warna ijoo wkwk, oke siip"
0,Salfook sama AE86 😂
1,"gak nyangka 𝘼𝙇𝙀𝙓𝙄𝙎17 se-booming , keren abis ! beneran ?"
1,"serius deh , dapet cuan gampang tuh ya pu lau tujuh tujuh tujuh ."
0,ini lagi cek saldo
0,"Ridwan ngmg ke Om Mobi "" Lu Lu"" Woi Tuaan Om Mobi lho"
1,"cakep kali 𝐒𝐆𝐈𝟖𝟖 , bravo .."
1,tetangga gue kepo penghasilan alexis17 .
0,Budayakan nonton sampai habis dan memahami
1,Gak perlu pusing mikirin biaya nikah kalo udah join ALEXIS⭐17⭐.
0,Hahaha gak punya chrome 😂
1,"Swert Bonanja makswin, puas banget"
0,Sejak awal bro sudah ngelantur...
0,"Sejauh ini, ini yang lebih banyak di dislikenya"
1,bro tau ga 𝘼𝙇𝙀𝙓𝙄𝙎17 udah support e-wallet potongan
0,Selain jarak dari rumah jauh ya mungkin ada alasan lagi
1,auto lancar langsung
0,"LOL
SEMOGA ADA VERSI GIBRAN WKWKW 🤣🤣"
0,31:30 Hape terooss !
1,"terbaik kak , salam weton88"
1,𝐌𝐴𝙓 𝟥𝟹ทุกคนเคยล้มเหลวมาก่อน
0,Yang di tunggu2
0,Kosong adalah kosong 😢
1,"seminggu main alexis17 , gue udah ganti drone !"
1,kapan lagi wehde 2 juta modal 50k? ⭐ A L E X I S 1 7 ⭐ doang kayak nya wkwkwk
0,42:51 jawaban ttg bab1 masak
